Name,Portfolio,URL(s)
Department of Agriculture,Agriculture,http://www.agriculture.gov.au/about/media-centre/media-releases
Australian Fisheries Management Authority,Agriculture,https://www.afma.gov.au/news-and-media
Australian Pesticides and Veterinary Medicines Authority,Agriculture,https://apvma.gov.au/news-and-publications/media-releases
Fisheries Research and Development Corporation,Agriculture,https://www.frdc.com.au/media-publications/news-and-media-releases
Grains Research and Development Corporation,Agriculture,https://grdc.com.au/news-and-media/news-and-media-releases
Murray-Darling Basin Authority,Agriculture,"https://www.mdba.gov.au/media?field_media_type_value_1=mediarelease&field_media_release_topic_tid=All&date_filter%5Bvalue%5D%5Byear%5D=
https://www.mdba.gov.au/media?field_media_type_value_1=media_statements&field_media_release_topic_tid=All&date_filter%5Bvalue%5D%5Byear%5D="
Regional Investment Corporation,Agriculture,https://www.ric.gov.au/about/news
Wine Australia,Agriculture,https://www.wineaustralia.com/news/media-releases
Senator the Hon Jonathon Duniam,Agriculture,https://minister.agriculture.gov.au/Duniam/media-releases
Senator the Hon Bridget McKenzie,Agriculture,"https://minister.agriculture.gov.au/McKenzie/media-releases
https://minister.agriculture.gov.au/McKenzie/speeches-and-transcripts"
Attorney General's Department,Attorney General's,https://www.ag.gov.au/Publications/Pages/default.aspx
Administrative Appeals Tribunal,Attorney General's,https://www.aat.gov.au/news
Asbestos Safety and Eradication Agency,Attorney General's,https://www.asbestossafety.gov.au/news
Australian Building and Construction Commission,Attorney General's,https://www.abcc.gov.au/news-and-media?field_category=43
Australian Commission for Law Enforcement Integrity,Attorney General's,https://www.aclei.gov.au/media
Australian Financial Security Authority,Attorney General's,"https://www.afsa.gov.au/about-us/newsroom/speeches 
https://www.afsa.gov.au/about-us/newsroom/news"
Australian Human Rights Commission,Attorney General's,"https://www.humanrights.gov.au/about/news?field_cmn_area_of_work_target_id=All&type=n_mr&field_news_author_value=All&sort_by=field_news_date_value&sort_order=DESC&year=all&keys= 
https://www.humanrights.gov.au/about/news?field_cmn_area_of_work_target_id=All&type=n_sp&field_news_author_value=All&sort_by=field_news_date_value&sort_order=DESC&year=all&keys="
Australian Law Reform Commission,Attorney General's,https://www.alrc.gov.au/news-media/media-release/
Coal Mining Industry (Long Service Leave Funding) Corporation,Attorney General's,https://www.coallsl.com.au/news/
Comcare,Attorney General's,https://www.comcare.gov.au/news__and__media/media_centre
Fair Work Commission,Attorney General's,"https://www.fwc.gov.au/news-media/media-releases 
https://www.fwc.gov.au/news-media/speeches"
Fair Work Ombudsman and Registered Organisations Commission Entity,Attorney General's,https://www.roc.gov.au/about-us/news-and-media/media-releases/media-releases
National Archives of Australia,Attorney General's,http://www.naa.gov.au/about-us/media/media-releases/index.aspx
Office of the Australian Information Commissioner,Attorney General's,https://www.oaic.gov.au/updates/news-and-media/?start=0&tags=6
Office of the Commonwealth Ombudsman,Attorney General's,https://www.ombudsman.gov.au/media-releases
Office of the Director of Public Prosecutions,Attorney General's,https://www.cdpp.gov.au/news
Office of the Inspector-General of Intelligence and Security,Attorney General's,https://www.igis.gov.au/about/news
Safe Work Australia,Attorney General's,https://www.safeworkaustralia.gov.au/media-centre/media-releases
Seafarers Safety Rehabilitation and Compensation Authority,Attorney General's,https://www.seacare.gov.au/news/news_listing
The Hon Christian Porter MP,Attorney General's,https://www.attorneygeneral.gov.au/Media/Pages/default.aspx
Department of Communications and the Arts,Communications and the Arts,https://www.communications.gov.au/departmental-news
Australia Business Arts Foundation (Creative Partnerships Australia),Communications and the Arts,https://www.creativepartnershipsaustralia.org.au/news-blog/
Australia Council,Communications and the Arts,https://www.australiacouncil.gov.au/news/media-centre/media-releases/
Australian Broadcasting Corporation,Communications and the Arts,"https://about.abc.net.au/speeches/ 
https://about.abc.net.au/statements/ 
https://about.abc.net.au/press-releases/"
Australian Communications and Media Authority,Communications and the Arts,https://www.acma.gov.au/theACMA/2019-media-releases
Australian Film Television and Radio School,Communications and the Arts,https://www.aftrs.edu.au/news-and-events/news/
Australian National Maritime Museum,Communications and the Arts,https://www.sea.museum/about/media/media-releases
Australian Postal Corporation,Communications and the Arts,https://newsroom.auspost.com.au
Bundanon Trust,Communications and the Arts,https://www.bundanon.com.au/about/news/
National Film and Sound Archive of Australia,Communications and the Arts,https://www.nfsa.gov.au/corporate-information/media-releases
National Gallery of Australia,Communications and the Arts,https://nga.gov.au/aboutus/press/default.cfm
