Name,Portfolio,URL(s)
Department of Agriculture,Agriculture,"http://www.agriculture.gov.au/_layouts/15/srchrss.aspx?k=owstaxIdAgriculturex0020Taxonomy:5941dc9d-a004-478b-b843-f9d33145bc9f 
http://www.agriculture.gov.au/_layouts/15/srchrss.aspx?k=owstaxIdMediaReleaseTaxonomy:7f5dcc5c-639a-4cd4-ba4f-ae03096d8554 
http://www.agriculture.gov.au/_layouts/15/srchrss.aspx?k=owstaxIdAgriculturex0020Taxonomy:c142a899-75c2-461a-886c-7ff49db89ddd 
http://www.agriculture.gov.au/_layouts/15/srchrss.aspx?k=owstaxIdAgriculturex0020Taxonomy:03d17c14-f8e5-4b48-b31f-5f60e0d2c4b1 
http://www.agriculture.gov.au/_layouts/15/srchrss.aspx?k=owstaxIdAgriculturex0020Taxonomy:5e2efaf7-9de0-44ff-80f0-bf44deb98b94"
Australian Fisheries Management Authority,Agriculture,https://feeds.feedburner.com/AustralianFisheriesManagementAuthority
Wine Australia,Agriculture,https://www.wineaustralia.com/special-pages/rss/stories
Australian Commission for Law Enforcement Integrity,Attorney General's,https://www.aclei.gov.au/rss.xml
Australian Human Rights Commission,Attorney General's,https://www.humanrights.gov.au/sites/default/files/content/rss/media.xml
Comcare,Attorney General's,https://www.comcare.gov.au/news__and__media/rss_feeds/rss_news2
Federal Court of Australia,Attorney General's,http://www.fedcourt.gov.au/rss/news-and-events-rss
National Archives of Australia,Attorney General's,http://www.naa.gov.au/whatsnew.xml
Office of the Australian Information Commissioner,Attorney General's,https://www.oaic.gov.au/updates/news-and-media/rss
Office of the Director of Public Prosecutions,Attorney General's,https://www.cdpp.gov.au/news/rss.xml
Safe Work Australia,Attorney General's,https://www.safeworkaustralia.gov.au/rss/news
Department of Communications and the Arts,Communications and the Arts,https://www.communications.gov.au/news/feed
Australian Communications and Media Authority,Communications and the Arts,"https://acma.gov.au//theACMA/Newsroom/Newsroom/Media%20releases/rss 
https://acma.gov.au/theACMA/Newsroom/Newsroom/Speeches/rss"
NBN Co Limited,Communications and the Arts,https://www.nbnco.com.au/utility/rss/media-statements.xml
Australian Strategic Policy Institute Limited,Defence,https://www.aspi.org.au/rss/news.rss
Department of Education,Education,"https://ministers.education.gov.au/releases_rss?release_types=15 
https://ministers.education.gov.au/releases_rss?release_types=16 
https://ministers.education.gov.au/releases_rss?release_types=17"
Department of Employment  Skills Small and Family Business,Employment Skills Small and Family Business,"https://ministers.employment.gov.au/releases_rss?release_types=15 
https://ministers.employment.gov.au/releases_rss?release_types=16 
https://ministers.employment.gov.au/releases_rss?release_types=17"
Australian Skills Quality Authority (National Vocational Education and Training Regulator),Employment Skills Small and Family Business,https://www.asqa.gov.au/rss.xml
Department of the Environment and Energy,Environment and Energy,http://www.environment.gov.au/rss-feed
Bureau of Meteorology,Environment and Energy,http://www.bom.gov.au/rss/
Climate Change Authority,Environment and Energy,http://climatechangeauthority.gov.au/latest.xml
Australian Trade and Investment Commission (Austrade),Foreign Affairs and Trade,https://www.austrade.gov.au/About-Austrade/Site-information/RSS/RSS
Department of Health,Health,https://www.health.gov.au/news/rss.xml
Australian Digital Health Agency,Health,https://www.digitalhealth.gov.au/news-and-events/news.rss
Australian National Preventive Health Agency,Health,https://www.health.gov.au/news/rss.xml
Australian Radiation Protection and Nuclear Safety Agency,Health,https://www.arpansa.gov.au/whats-new.rss
Australian Sports Anti-Doping Authority,Health,https://www.asada.gov.au/news/rss.xml
National Blood Authority,Health,https://www.blood.gov.au/rss.xml
National Mental Health Commission,Health,http://www.mentalhealthcommission.gov.au/Rss
Australian Federal Police,Home Affairs,https://www.afp.gov.au/feed/media-releases
Australian Transaction Reports and Analysis Centre,Home Affairs,https://www.austrac.gov.au/media-release/rss.xml
Department of Infrastructure Transport Cities and Regional Development,Infrastructure Transport Cities and Regional Development,https://www.bitre.gov.au/rss/new_releases.xml
Department of Parliamentary Services,Parliamentary Departments,https://www.aph.gov.au/Help/RSS_feeds
Department of the House of Representatives,Parliamentary Departments,https://www.aph.gov.au/Help/RSS_feeds
Department of the Senate,Parliamentary Departments,https://www.aph.gov.au/Help/RSS_feeds
Parliamentary Budget Office,Parliamentary Departments,https://www.aph.gov.au/Help/RSS_feeds
Digital Transformation Agency,Human Services,https://www.dta.gov.au/news-blogs/feed/all
Department of the Treasury,Treasury,https://treasury.gov.au/rss-feeds
Australian Bureau of Statistics,Treasury,https://www.abs.gov.au/AUSSTATS/wmdata.nsf/activerss/mediaReleases_rss/$File/mediaReleases_rss.xml
Australian Taxation Office,Treasury,https://www.ato.gov.au/rss.aspx?category=1837
Productivity Commission,Treasury,https://www.pc.gov.au/rss-news-feed.xml
Reserve Bank of Australia,Treasury,https://www.rba.gov.au/rss/rss-cb-media-releases.xml
