"Portfolio","Feed name","Feed URL","HTML URL","Notes"
"Services Australia","Digital Transformation Agency","https://www.dta.gov.au/news-blogs/feed/news_item","https://www.dta.gov.au/news-blogs/all?f%5B0%5D=content_type%3Amedia_release",""
"Communications and the Arts","Australian Broadcasting Corporation","https://about.abc.net.au/feed/","https://about.abc.net.au/",""
"Health","Latest news | Australian Government Department of Health","https://www.health.gov.au/news/rss.xml","https://www.health.gov.au/news",""
"Education","Ministers' Media Centre - Media Release","https://ministers.education.gov.au/releases_rss?release_types=15","https://ministers.education.gov.au",""
"Taxation","ATO - Media releases","https://www.ato.gov.au/rss.aspx?category=1837","https://www.ato.gov.au/Media-centre",""
"Social Services","Department of Social Services, Australian Government","https://www.dss.gov.au/rss.xml","https://www.dss.gov.au/about-the-department/news",""
"Social Services","Ministers for the Department of Social Services - Anne Ruston","https://ministers.dss.gov.au/feeds/anne-ruston/rss.xml","https://ministers.dss.gov.au/anne-ruston",""
"Social Services","Ministers for the Department of Social Services - Michelle Landry","https://ministers.dss.gov.au/feeds/michelle-landry/rss.xml","https://ministers.dss.gov.au/michelle-landry",""
"Social Services","Ministers for the Department of Social Services - Luke Howarth","https://ministers.dss.gov.au/feeds/luke-howarth/rss.xml","https://ministers.dss.gov.au/luke-howarth",""
"Social Services","Ministers for the Department of Social Services - Stuart Robert","https://ministers.dss.gov.au/feeds/stuart-robert/rss.xml","https://ministers.dss.gov.au/stuart-robert",""
"Communications and the Arts","Ministers for Communications and the Arts","https://www.minister.communications.gov.au/rss.xml","https://www.minister.communications.gov.au","contains social media posts"
