Name,Portfolio,URL(s)
The Hon Scott Morrison MP,Minister for the Public Service,https://www.pm.gov.au/media
The Hon Ken Wyatt AM MP,Minister for Indigenous Australians,https://ministers.pmc.gov.au/wyatt
The Hon Michael McCormack MP,Minister for Infrastructure and Transport and Regional Development,"https://minister.infrastructure.gov.au/mccormack/media-release 
https://minister.infrastructure.gov.au/mccormack/speech"
The Hon David Littleproud MP,Minister for Water Resources Drought Rural Finance Natural Disaster and Emergency Management,"https://minister.infrastructure.gov.au/littleproud/media-release
https://minister.agriculture.gov.au/littleproud/media-releases"
The Hon Alan Tudge MP,Minister for Population Cities and Urban Infrastructure,"https://minister.infrastructure.gov.au/tudge/media-release  
https://minister.infrastructure.gov.au/tudge/speech"
The Hon Josh Frydenberg MP,Treasurer,"http://ministers.treasury.gov.au/ministers/josh-frydenberg-2018/media-releases
http://ministers.treasury.gov.au/ministers/josh-frydenberg-2018/speeches"
Senator the Hon Mathias Cormann,Minister for Finance,"https://www.financeminister.gov.au/media
https://www.financeminister.gov.au/speeches"
Senator the Hon Bridget McKenzie,Minister for Agriculture,"https://minister.agriculture.gov.au/McKenzie/media-releases
https://minister.agriculture.gov.au/McKenzie/speeches-and-transcripts"
Senator the Hon Marise Payne,"Minister for Foreign Affairs  Minister for Women",https://minister.agriculture.gov.au/McKenzie/speeches-and-transcripts
Senator the Hon Simon Birmingham,Minister for Trade Tourism and Investment,"https://trademinister.gov.au/releases/Pages/default.aspx 
https://trademinister.gov.au/speeches/Pages/default.aspx"
The Hon Christian Porter MP,"Attorney-General Minister for Industrial Relations",https://www.attorneygeneral.gov.au/Media/Pages/default.aspx
The Hon Greg Hunt MP,"Minister for Health  Minister Assisting the Prime Minister for the Public Service and Cabinet",https://www.health.gov.au/ministers/media-centre?f%5B0%5D=field_related_ministers%3A3871
The Hon Peter Dutton MP,Minister for Home Affairs,"https://minister.homeaffairs.gov.au/peterdutton/Pages/Media-Releases.aspx  
https://minister.homeaffairs.gov.au/peterdutton/Pages/Speeches-and-Transcripts.aspx"
The Hon Paul Fletcher MP,Minister for Communications Cyber Safety and the Arts,https://www.minister.communications.gov.au/minister/Paul-Fletcher
The Hon Daniel Tehan MP,Minister for Education,https://ministers.education.gov.au/tehan-0
Senator the Hon Michaelia Cash,Minister for Employment Skills Small and Family Business,https://ministers.employment.gov.au/cash
The Hon Karen Andrews MP,Minister for Industry Science and Technology,https://www.minister.industry.gov.au/ministers/karenandrews
Senator the Hon Matthew Canavan,Minister for Resources and Northern Australia,https://www.minister.industry.gov.au/ministers/Canavan/media_releases
The Hon Angus Taylor MP,Minister for Energy and Emissions Reduction,"https://minister.environment.gov.au/taylor/news 
https://minister.environment.gov.au/taylor/news?field_media_category_tid=24"
The Hon Sussan Ley MP,Minister for the Environment,https://minister.environment.gov.au/ley/news?field_media_category_tid=25
Senator the Hon Linda Reynolds CSC,Minister for Defence,"https://www.minister.defence.gov.au/minister/lreynolds/media-releases 
https://www.minister.defence.gov.au/news-media/speeches"
Senator the Hon Anne Ruston,Minister for Families and Social Services,"https://ministers.dss.gov.au/anne-ruston/media-releases 
https://ministers.dss.gov.au/anne-ruston/speeches"
The Hon Stuart Robert MP,"Minister for the National Disability Insurance Scheme  Minister for Government Services",https://ministers.dss.gov.au/stuart-robert
