Portfolio,Feed Name,Feed URL
Agriculture,Department of Agriculture,http://www.agriculture.gov.au/_layouts/15/srchrss.aspx?k=owstaxIdAgriculturex0020Taxonomy:5941dc9d-a004-478b-b843-f9d33145bc9f
Agriculture,Department of Agriculture,http://www.agriculture.gov.au/_layouts/15/srchrss.aspx?k=owstaxIdMediaReleaseTaxonomy:7f5dcc5c-639a-4cd4-ba4f-ae03096d8554
Agriculture,Department of Agriculture,http://www.agriculture.gov.au/_layouts/15/srchrss.aspx?k=owstaxIdAgriculturex0020Taxonomy:c142a899-75c2-461a-886c-7ff49db89ddd
Agriculture,Department of Agriculture,http://www.agriculture.gov.au/_layouts/15/srchrss.aspx?k=owstaxIdAgriculturex0020Taxonomy:03d17c14-f8e5-4b48-b31f-5f60e0d2c4b1
Agriculture,Department of Agriculture,http://www.agriculture.gov.au/_layouts/15/srchrss.aspx?k=owstaxIdAgriculturex0020Taxonomy:5e2efaf7-9de0-44ff-80f0-bf44deb98b94
Agriculture,Australian Fisheries Management Authority,https://feeds.feedburner.com/AustralianFisheriesManagementAuthority
Agriculture,Wine Australia,https://www.wineaustralia.com/special-pages/rss/stories
Attorney General's,Australian Commission for Law Enforcement Integrity,https://www.aclei.gov.au/rss.xml
Attorney General's,Australian Human Rights Commission,https://www.humanrights.gov.au/sites/default/files/content/rss/media.xml
Attorney General's,Comcare,https://www.comcare.gov.au/news__and__media/rss_feeds/rss_news2
Attorney General's,Federal Court of Australia,http://www.fedcourt.gov.au/rss/news-and-events-rss
Attorney General's,National Archives of Australia,http://www.naa.gov.au/whatsnew.xml
Attorney General's,Office of the Australian Information Commissioner,https://www.oaic.gov.au/updates/news-and-media/rss
Attorney General's,Office of the Director of Public Prosecutions,https://www.cdpp.gov.au/news/rss.xml
Attorney General's,Safe Work Australia,https://www.safeworkaustralia.gov.au/rss/news
Communication and the Arts,The Hon Paul Fletcher MP,https://www.minister.communications.gov.au/rss.xml
Communications and the Arts,Department of Communications and the Arts,https://www.communications.gov.au/news/feed
Communications and the Arts,NBN Co Limited,https://www.nbnco.com.au/utility/rss/media-statements.xml
Defence,Australian Strategic Policy Institute Limited,https://www.aspi.org.au/rss/news.rss
Education,Department of Education,https://ministers.education.gov.au/releases_rss?release_types=15
Education,Department of Education,https://ministers.education.gov.au/releases_rss?release_types=16
Education,Department of Education,https://ministers.education.gov.au/releases_rss?release_types=17
Education,The Hon Daniel Tehan MP,https://ministers.education.gov.au/releases_rss?minister=13611
Education,The Hon Steve Irons MP,https://ministers.employment.gov.au/releases_rss?minister=16106
Employment Skills Small and Family Business,Department of Employment  Skills Small and Family Business,https://ministers.employment.gov.au/releases_rss?release_types=15
Employment Skills Small and Family Business,Department of Employment  Skills Small and Family Business,https://ministers.employment.gov.au/releases_rss?release_types=16
Employment Skills Small and Family Business,Department of Employment  Skills Small and Family Business,https://ministers.employment.gov.au/releases_rss?release_types=17
Employment Skills Small and Family Business,Australian Skills Quality Authority (National Vocational Education and Training Regulator),https://www.asqa.gov.au/rss.xml
Employment Skills Small and Family Business,Senator the Hon Michaelia Cash,https://ministers.employment.gov.au/releases_rss?minister=13105
Environment and Energy,Department of the Environment and Energy,http://www.environment.gov.au/rss-feed
Environment and Energy,Bureau of Meteorology,http://media.bom.gov.au/rss/
Environment and Energy,Climate Change Authority,http://climatechangeauthority.gov.au/latest.xml
Environment and Energy,The Hon Sussan Ley MP,https://minister.environment.gov.au/feed/ley/rss.xml
Environment and Energy,The Hon Trevor Evans MP,https://minister.environment.gov.au/feed/evans/rss.xml
Finance,Senator the Hon Mathias Cormann,https://ministers.treasury.gov.au/ministers/mathias-cormann-2014/media-releases/feed
Finance,Senator the Hon Jane Hume,https://ministers.treasury.gov.au/ministers/jane-hume-2019/media-releases/feed
Foreign Affairs and Trade,Australian Trade and Investment Commission (Austrade),http://feeds.feedburner.com/Austrade
Foreign Affairs and Trade,Senator the Hon Marise Payne,https://foreignminister.gov.au/_layouts/feed.aspx?xsl=1&web=%2F&page=1ac57cc2-3e98-49a5-92a0-26b817a4991d&wp=f9fa3e69-cc04-4c62-b587-5c32edcaddef&pageurl=%2FPages%2FRSS%2DFeed%2Easpx
Foreign Affairs and Trade,Senator the Hon Simon Birmingham,http://trademinister.gov.au/_layouts/dfat.ministers/feed.aspx?xsl=1&web=%2FTradeMinister&page=6ff9d43d-9d8c-481c-ad76-065fcda6b1ca&wp=47b917a9-848a-49ec-8aab-164a7882de65&pageurl=%2FTradeMinister%2FPages%2FRSS%2DFeed%2Easpx
Health,Department of Health,https://www.health.gov.au/news/rss.xml
Health,Australian Digital Health Agency,https://www.digitalhealth.gov.au/news-and-events/news.rss
Health,Australian Radiation Protection and Nuclear Safety Agency,https://www.arpansa.gov.au/whats-new.rss
Health,Australian Sports Anti-Doping Authority,https://www.asada.gov.au/news/rss.xml
Health,National Blood Authority,https://www.blood.gov.au/rss.xml
Health,National Mental Health Commission,http://www.mentalhealthcommission.gov.au/Rss
Home Affairs,Australian Federal Police,https://www.afp.gov.au/feed/media-releases
Home Affairs,Australian Transaction Reports and Analysis Centre,https://www.austrac.gov.au/media-release/rss.xml
Home Affairs,The Hon Peter Dutton MP,"https://minister.homeaffairs.gov.au/_layouts/15/SP.Minister/Rss.aspx?type=media&mini=peterdutton 
https://minister.homeaffairs.gov.au/_layouts/15/SP.Minister/Rss.aspx?type=speech&mini=peterdutton"
Human Services,Digital Transformation Agency,https://www.dta.gov.au/news-blogs/feed/all
Infrastructure Transport Cities and Regional Development,Department of Infrastructure Transport Cities and Regional Development,https://www.bitre.gov.au/rss/new_releases.xml
Minister for Energy and Emissions Reduction,The Hon Angus Taylor MP,https://minister.environment.gov.au/feed/taylor/rss.xml
Social Services,Senator the Hon Anne Ruston,https://ministers.dss.gov.au/feeds/anne-ruston/rss.xml
Social Services,The Hon Stuart Robert MP,https://ministers.dss.gov.au/feeds/stuart-robert/rss.xml
Social Services,The Hon Luke Howarth MP,https://ministers.dss.gov.au/feeds/luke-howarth/rss.xml
Treasury,Department of the Treasury,https://treasury.gov.au/rss-feeds
Treasury,Australian Bureau of Statistics,https://www.abs.gov.au/AUSSTATS/wmdata.nsf/activerss/mediaReleases_rss/$File/mediaReleases_rss.xml
Treasury,Australian Taxation Office,https://www.ato.gov.au/rss.aspx?category=1837
Treasury,Productivity Commission,https://www.pc.gov.au/rss-news-feed.xml
Treasury,Reserve Bank of Australia,https://www.rba.gov.au/rss/rss-cb-media-releases.xml
Treasury,The Hon Josh Frydenberg MP,http://ministers.treasury.gov.au/ministers/josh-frydenberg-2018/all/feed
Treasury,The Hon Michael Sukkar MP,http://ministers.treasury.gov.au/ministers/michael-sukkar-2019/all/feed
